Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
MAKNSINGH SOLANKI (BABUJI),Khargone,BJP,0,5th Pass,Rs 5838265 ,Rs 204826 
DINSHA ZAVARBHAI PATEL,Kheda,INC,0,10th Pass,Rs 23065019 ,Rs 3480352 
ZAFAR ALI NAQVI,Kheri,INC,0,Graduate Professional,Rs 3979881 ,Rs 0 
KARIYA MUNDA,Khunti,BJP,0,Post Graduate,Rs 5989638 ,Rs 133125 
MOHAMMAD ASRARUL HAQUE,Kishanganj,INC,0,Post Graduate,Rs 3646860 ,Rs 0 
Babu Lal Marandi,Kodarma,JVM(P), 1 ,Graduate,Rs 2137675 ,Rs 0 
SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,BPF,0,Graduate,Rs 4954903 ,Rs 464860 
K.H.Muniyappa,Kolar,INC,0,Graduate Professional,Rs 51921402 ,Rs 21019510 
SADASHIVRAO MANDLIK DADOBA,Kolhapur,IND,0,Graduate,Rs 11552012 ,Rs 0 
MAMATA BANERJEE,Kolkata Dakshin ,AITC,0,Post Graduate,Rs 473194 ,Rs 0 
SUDIP BANDYOPADHYAY,Kolkata Uttar,AITC,0,Graduate,Rs 4187479 ,Rs 196283 
N Peethambarakurup,Kollam,INC, 2 ,Graduate,Rs 2810132 ,Rs 0 
Shivaramgouda,Koppal,BJP,0,Graduate Professional,Rs 14518988 ,Rs 3078847 
Jayaram Pangi,Koraput,BJD,0,10th Pass,Rs 6182372 ,Rs 0 
Charandas Mahant,Korba,INC,0,Doctorate,Rs 42704354 ,Rs 1643424 
IJYARAJ SINGH,Kota,INC,0,Post Graduate,Rs 180131144 ,Rs 0 
Jose K Mani,Kottayam,KEC(M),0,Post Graduate,Rs 9651729 ,Rs 0 
M K Raghavan,Kozhikode,INC,0,Graduate,Rs 1409694 ,Rs 1055000 
SUGAVANAM. E.G.,Krishnagiri,DMK, 3 ,12th Pass,Rs 16974157 ,Rs 500000 
TAPAS PAUL,Krishnanagar,AITC, 5 ,Graduate,Rs 9614227 ,Rs 0 
KOTLA JAYA SURYA PRAKASH REDDY,Kurnool,INC,0,Graduate,Rs 53719195 ,Rs 3034000 
NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,Rs 1310730000 ,Rs 0 
KU. RATANJEET PRATAP NARAYAN SINGH,Kushi Nagar,INC,0,Graduate,Rs 39975893 ,Rs 100000 
HASSAN KHAN,Ladakh,IND,0,Graduate,Rs 6065000 ,Rs 0 
RANEE NARAH,Lakhimpur,INC, 1 ,Graduate,Rs 53976290 ,Rs 0 
Muhammed Hamdulla Sayeed A.B.,Lakshadweep,INC,0,Graduate Professional,Rs 20977767 ,Rs 0 
DR. BALIRAM,Lalganj,BSP,0,Doctorate,Rs 8003036 ,Rs 638922 
AAWALE JAYWANT GANGARAM,Latur,INC, 1 ,10th Pass,Rs 30485766 ,Rs 0 
Sudershan Bhagat,Lohardaga,BJP,0,Graduate,Rs 3093207 ,Rs 236750 
LAL JI TANDON,Lucknow,BJP,0,Graduate,Rs 21700160 ,Rs 0 
MANISH TEWARI,Ludhiana,INC,0,Graduate Professional,Rs 29941543 ,Rs 0 
TUFANI SAROJ,Machhlishahr,SP,0,Graduate,Rs 5336133 ,Rs 0 
Konakalla Narayana Rao,Machilipatnam,TDP,0,12th Pass,Rs 8616000 ,Rs 3787000 
PAWAR SHARADCHANDRA GOVINDRAO,Madha,NCP,0,10th Pass,Rs 87238434 ,Rs 0 
SHARAD YADAV,Madhepura,JD(U), 1 ,Graduate Professional,Rs 14107050 ,Rs 0 
HUKM DEO NARAYAN YADAV,Madhubani,BJP,0,Graduate,Rs 25012430 ,Rs 264033 
ALAGIRI M.K,Madurai,DMK,0,Graduate,Rs 193978895 ,Rs 0 
P. BALRAM,Mahabubabad,INC,0,Graduate,Rs 17195194 ,Rs 14122000 
Uma Shanaker Singh,Maharajganj,RJD, 2 ,10th Pass,Rs 10145601 ,Rs 450000 
Chandulal Sahu (Chandu Bhaiya),Mahasamund,BJP,0,Graduate Professional,Rs 6805000 ,Rs 1300000 
K. CHANDRASEKHARA RAO,Mahbubnagar,TRS, 2 ,Graduate,Rs 22669420 ,Rs 0 
JAYSHREEBEN KANUBHAI PATEL,Mahesana,BJP,0,10th Pass,Rs 3343068 ,Rs 263528 
MULAYAM SINGH YADAV,Mainpuri,SP,0,Post Graduate,Rs 22399310 ,Rs 42000 
E Ahamed,Malappuram,MUL,0,Post Graduate,Rs 3887709 ,Rs 0 
Abu Hasem Khan Choudhury,Maldaha Dakshin,INC,0,Doctorate,Rs 8782797 ,Rs 0 
Mausam Noor,Maldaha Uttar,INC,0,Graduate Professional,Rs 1847359 ,Rs 234488 
SARVEY SATYANARAYANA,Malkajgiri,INC, 1 ,Graduate Professional,Rs 10112521 ,Rs 116848 
VIRBHADRA SINGH,Mandi,INC,0,Post Graduate,Rs 225228748 ,Rs 628864 
BASORI SINGH MASRAM,Mandla,INC,0,8th Pass,Rs 3621178 ,Rs 350000 
MEENAKSHI NATRAJAN,Mandsour,INC,0,Post Graduate,Rs 1126966 ,Rs 0 
N Chaluvarayaswamy,Mandya,JD(S), 15 ,12th Pass,Rs 54168804 ,Rs 4125000 
RAMEN DEKA,Mangaldoi,BJP,0,Graduate,Rs 7579967 ,Rs 0 
JAYANT K SINGH,Mathura,RLD, 1 ,Post Graduate,Rs 30204219 ,Rs 288327 
CHOUDHURY MOHAN JATUA,Mathurapur,AITC,0,Post Graduate,Rs 2585000 ,Rs 0 
BABAR GAJANAN DHARMSHI,Maval,SHS, 7 ,Literate,Rs 67831434 ,Rs 0 
Kodikunnil Suresh,Mavelikkara,INC, 4 ,Graduate Professional,Rs 1652747 ,Rs 77210 
MANIAN O.S,Mayiladuthurai,ADMK, 1 ,12th Pass,Rs 8635089 ,Rs 2000000 
Laxman Tudu,Mayurbhanj,BJD,0,Graduate,Rs 173000 ,Rs 38986 
VIJAYA SHANTHI .M,Medak,TRS,0,10th Pass,Rs 271066905 ,Rs 0 
Prabodh Panda,Medinipur,CPI,0,Graduate,Rs 2230746 ,Rs 362156 
RAJENDRA AGARWAL,Meerut,BJP,0,Post Graduate,Rs 2121825 ,Rs 315620 
BAL KUMAR PATEL,Mirzapur,SP, 10 ,12th Pass,Rs 22978000 ,Rs 11695272 
ASHOK KUMAR RAWAT,Misrikh,BSP,0,Post Graduate,Rs 6221049 ,Rs 665426 
C.L.RUALA,Mizoram,INC,0,Graduate Professional,Rs 5354186 ,Rs 0 
SUSHILA SAROJ,Mohanlalganj,SP,0,Post Graduate,Rs 28680230 ,Rs 2452429 
MOHAMMED AZHARUDDIN,Moradabad,INC,0,Graduate,Rs 25233948 ,Rs 565160 
NARENDRA SINGH TOMAR,Morena,BJP,0,Graduate,Rs 3453203 ,Rs 1780000 
SANJAY BRIJKISHORLAL NIRUPAM,Mumbai North,INC, 5 ,Graduate,Rs 22417801 ,Rs 3727000 
DUTT PRIYA SUNIL,Mumbai North Central,INC,0,Graduate,Rs 349576448 ,Rs 147511 
SANJAY DINA PATIL,Mumbai North East,NCP, 2 ,Graduate,Rs 4323503 ,Rs 0 
AD.KAMAT GURUDAS VASANT,Mumbai North West,INC,0,Graduate Professional,Rs 63926963 ,Rs 0 
DEORA MILIND MURLI,Mumbai South,INC,0,Graduate Professional,Rs 175373142 ,Rs 0 
EKNATH M. GAIKWAD,Mumbai South Central,INC,0,10th Pass,Rs 2195416 ,Rs 0 
ABDUL MANNAN HOSSAIN,Murshidabad,INC, 1 ,Graduate,Rs 1709788 ,Rs 1006391 
KADEER RANA,Muzaffarnagar,BSP, 4 ,Literate,Rs 58451906 ,Rs 0 
CAPTAIN JAI NARAYAN PRASAD NISHAD,Muzaffarpur,JD(U),0,12th Pass,Rs 15148831 ,Rs 4337141 
ADAGUR H. VISWANATH,Mysore,INC,0,Graduate Professional,Rs 28291172 ,Rs 7367061 
Pradeep Kumar Majhi,Nabarangpur,INC,0,Graduate,Rs 850000 ,Rs 345830 
VIJAYAN A K S,Nagapattinam,DMK,0,12th Pass,Rs 7205000 ,Rs 1127000 
Dr. Manda Jagannath,Nagarkurnool,INC,0,Post Graduate,Rs 28126000 ,Rs 3123000 
DR JYOTI MIRDHA,Nagaur,INC,0,Graduate Professional,Rs 39039915 ,Rs 0 
YASHVIR SINGH,Nagina,SP, 1 ,12th Pass,Rs 784562 ,Rs 0 
MUTTEMWAR VILASRAO BABURAOJI,Nagpur,INC,0,Graduate,Rs 15302294 ,Rs 2756726 
K.C. SINGH BABA,Nainital-Udhamsingh Nagar,INC,0,12th Pass,Rs 43987049 ,Rs 649024 
KAUSHALENDRA KUMAR,Nalanda,JD(U),0,12th Pass,Rs 7133058 ,Rs 227065 
Gutha Sukender Reddy,Nalgonda,INC,0,12th Pass,Rs 16040830 ,Rs 16662997 
GANDHISELVAN.S,Namakkal,DMK, 2 ,Post Graduate,Rs 4070482 ,Rs 0 
KHATGAONK PATIL BHASKARRAO BAPURAO,Nanded,INC, 4 ,Graduate,Rs 62416000 ,Rs 260000 
GAVIT MANIKRAO HODLYA,Nandurbar,INC,0,5th Pass,Rs 41064753 ,Rs 0 
S.P.Y.REDDY,Nandyal,INC, 1 ,Graduate Professional,Rs 92821000 ,Rs 0 
VENUGOPALA REDDY MODUGULA,Narasaraopet,TDP, 2 ,Graduate Professional,Rs 27493309 ,Rs 51964 
BAPIRAJU KANUMURU,Narsapuram,INC,0,10th Pass,Rs 30574013 ,Rs 3812438 
SAMEER BHUJBAL,Nashik,NCP,0,10th Pass,Rs 66660039 ,Rs 0 
CHANDRAKANT RAGHUNATH PATIL,Navsari,BJP, 6 ,10th Pass,Rs 242083697 ,Rs 42208512 
BholaSingh,Nawada,BJP,0,Doctorate,Rs 3893000 ,Rs 360000 
M Rajamohan Reddy,Nellore,INC,0,Graduate Professional,Rs 363462696 ,Rs 0 
AJAY MAKAN,New Delhi,INC, 1 ,Post Graduate,Rs 40148040 ,Rs 97120 
RAJA A,Nilgiris,DMK,0,Graduate Professional,Rs 14251669 ,Rs 166862 
Madhu Yaskhi Goud,Nizamabad,INC,0,Post Graduate,Rs 119108338 ,Rs 15422084 
JAI PRAKASH AGARWAL,North East Delhi,INC,0,Graduate,Rs 24928873 ,Rs 0 
SHRIPAD YESSO NAIK,North Goa,BJP,0,Graduate,Rs 9897462 ,Rs 912582 
KIRSHNA TIRATH,North West Delhi,INC,0,Graduate Professional,Rs 21146350 ,Rs 0 
RAJEN GOHAIN,Nowgong,BJP, 1 ,Graduate Professional,Rs 10210891 ,Rs 740165 
MAGUNTA SRINIVASULU REDDY,Ongole,INC,0,Graduate,Rs 102065901 ,Rs 0 
PATIL PADAMSINHA BAJIRAO,Osmanabad,NCP, 7 ,Graduate Professional,Rs 75852364 ,Rs 0 
THANGSO BAITE,Outer Manipur,INC,0,Post Graduate,Rs 1778418 ,Rs 880000 
M B Rajesh,Palakkad,CPM, 16 ,Post Graduate,Rs 1105474 ,Rs 504893 
KAMESHWAR BAITHA,Palamau,JMM, 46 ,10th Pass,Rs 570000 ,Rs 0 
JADHAV BALIRAM SUKUR,Palghar,BVA,0,8th Pass,Rs 2399053 ,Rs 0 
BADRI RAM,Pali,INC, 1 ,Literate,Rs 60243814 ,Rs 498169 
PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP, 3 ,10th Pass,Rs 7255000 ,Rs 0 
ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,SHS,0,Graduate Professional,Rs 28111720 ,Rs 0 
DR. SANJAY JAISWAL,Paschim Champaran,BJP, 2 ,Post Graduate,Rs 10950474 ,Rs 1169173 
RANJAN  PRASAD YADAV,Pataliputra,JD(U), 1 ,Doctorate,Rs 15319000 ,Rs 0 
JAGDISHBHAI MOTIJI THAKORE,Patan,INC,0,10th Pass,Rs 3389298 ,Rs 1158381 
Anto Antony,Pathanamthitta,INC,0,Graduate,Rs 1424205 ,Rs 1706713 
PRENEET KAUR,Patiala,INC,0,Graduate,Rs 423043438 ,Rs 0 
SHATRUGHAN SINHA,Patna Sahib,BJP,0,Graduate,Rs 150033976 ,Rs 25878099 
Dr. G. Vivekanand,Peddapalle,INC,0,Graduate Professional,Rs 729509675 ,Rs 0 
NAPOLEOND.,Perambalur,DMK,0,Graduate,Rs 191419973 ,Rs 28270000 
KAPIL MUNI KARWARIYA,Phulpur,BSP, 4 ,Graduate Professional,Nil,Rs 0 
FEROZE VARUN GANDHI,Pilibhit,BJP, 6 ,Graduate,Rs 49267810 ,Rs 0 
SUGUMAR.K,Pollachi,ADMK,0,Graduate,Rs 21320000 ,Rs 191027 
NARAYANASAMY,Pondicherry,INC,0,Post Graduate,Rs 35979157 ,Rs 2171758 
E T Mohamed Basheer,Ponnani,MUL,0,10th Pass,Rs 605855 ,Rs 0 
VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC, 16 ,Graduate,Rs 20675722 ,Rs 0 
RAJKUMARI RATNA SINGH,Pratapgarh,INC, 5 ,Graduate,Rs 678270725 ,Rs 1002000 
KALMADI SURESH,Pune,INC, 1 ,Post Graduate,Rs 128165624 ,Rs 0 
Pinaki Misra,Puri,BJD,0,Graduate,Rs 296900000 ,Rs 0 
UDAY SINGH ALIAS PAPPU SINGH,Purnia,BJP, 2 ,12th Pass,Rs 419130669 ,Rs 1410120 
Narahari Mahato,Purulia,AIFB,0,Post Graduate,Rs 3086000 ,Rs 400000 
RADHA MOHAN SINGH,Purvi Champaran,BJP,0,Graduate,Rs 7629444 ,Rs 184731 
SONIA GANDHI,Rae bareli,INC,0,Others,Rs 13794768 ,Rs 0 
S Pakkirappa,Raichur,BJP, 1 ,5th Pass,Rs 7736230 ,Rs 0 
ANANT GEETE,Raigad,SHS, 1 ,10th Pass,Rs 8555617 ,Rs 0 
Deepa Dasmunsi,Raiganj,INC,0,Post Graduate,Rs 12514145 ,Rs 0 
Vishu Deo Sai,Raigarh,BJP,0,10th Pass,Rs 2302000 ,Rs 0 
V Arun Kumar,Rajahmundry,INC, 2 ,Graduate Professional,Rs 13073077 ,Rs 979680 
ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,Rs 6233245 ,Rs 605031 
NARAYANSINGH AMLABE,Rajgarh,INC,0,12th Pass,Rs 3808133 ,Rs 161617 
KUNVARJIBHAI MOHANBHAI BAVALIYA,Rajkot,INC, 3 ,Graduate,Rs 4560852 ,Rs 599799 
DEVIDHAN BESRA,Rajmahal,BJP,0,10th Pass,Rs 4828559 ,Rs 0 
Madhusudan Yadav,Rajnandgaon,BJP, 1 ,12th Pass,Rs 1165680 ,Rs 0 
GOPAL SINGH,Rajsamand,INC,0,Graduate Professional,Rs 4106255 ,Rs 489648 
SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK, 2 ,Graduate,Rs 122820653 ,Rs 4000000 
JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,Rs 131490118 ,Rs 1398995 
WASNIK MUKUL BALKRISHNA,Ramtek,INC, 1 ,Post Graduate,Rs 3111932 ,Rs 0 
SUCHARU RANJAN HALDAR,Ranaghat,AITC,0,Post Graduate,Rs 10882896 ,Rs 0 
SUBODH KANT SAHAY,Ranchi,INC, 1 ,Graduate,Rs 27179918 ,Rs 0 
KANTILAL BHURIA,Ratlam,INC,0,Post Graduate,Rs 30557089 ,Rs 0 
DR.NILESH NARAYAN RANE,Ratnagiri Sindhudurg,INC, 1 ,Doctorate,Rs 30561862 ,Rs 0 
HARIBHAU MADHAV JAWALE,Raver,BJP,0,Graduate,Rs 7842881 ,Rs 629917 
DEORAJ SINGH PATEL,Rewa,BSP,0,Post Graduate,Rs 30845000 ,Rs 4961271 
PAKAURI LAL,Robertsganj,SP,0,Literate,Rs 1762515 ,Rs 0 
DEEPENDER SINGH,Rohtak,INC,0,Post Graduate,Rs 65367032 ,Rs 0 
MAHENDRASINH PRUTHVISINH CHAUHAN,Sabarkantha,BJP,0,Graduate Professional,Rs 8842370 ,Rs 161190 
JAGDISH SINGH RANA,Saharanpur,BSP,0,Graduate,Rs 18867277 ,Rs 298187 
SEMMALAI S,Salem,ADMK, 2 ,Graduate Professional,Rs 46220339 ,Rs 59000 
RAMASHANKAR RAJBHAR,Salempur,BSP,0,Graduate,Rs 2305000 ,Rs 0 
MAHESWER HAZARI,Samastipur,JD(U),0,Post Graduate,Rs 6964921 ,Rs 1054356 
Amarnath Pradhan,Sambalpur,INC,0,Graduate,Rs 4325000 ,Rs 466494 
DR. SHAFIQUR RAHMAN BARQ,Sambhal,BSP,0,Graduate,Rs 7059763 ,Rs 0 
PRATIK PRAKASHBAPU PATIL,Sangli,INC, 1 ,Others,Rs 22137000 ,Rs 1358000 
VIJAY INDER SINGLA,Sangrur,INC,0,12th Pass,Rs 34777859 ,Rs 374957 
BHISMA SHANKAR ALIAS KUSHAL TIWARI,Sant Kabir Nagar,BSP,0,12th Pass,Rs 31926944 ,Rs 1125920 
MEIRA KUMAR,Sasaram,INC,0,Post Graduate,Rs 101565500 ,Rs 0 
BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP, 14 ,Others,Rs 117253344 ,Rs 1800000 
GANESH SINGH,Satna,BJP, 3 ,Post Graduate,Rs 7372032 ,Rs 16585 
ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,Rs 20620697 ,Rs 1500000 
RAJESH NANDINI SINGH,Shahdol,INC,0,Graduate,Rs 11475000 ,Rs 200000 
MITHLESH,Shahjahanpur,SP,0,Graduate,Rs 8035655 ,Rs 1746024 
RAMA DEVI,Sheohar,BJP, 5 ,Graduate Professional,Rs 69429234 ,Rs 883367 
VINCENT H PALA,Shillong,INC,0,Graduate Professional,Rs 251618190 ,Rs 0 
VIRENDER KASHYAP,Shimla,BJP,0,Post Graduate,Rs 3434928 ,Rs 0 
B.Y. RAGHAVENDRA,Shimoga,BJP,0,Graduate Professional,Rs 66273401 ,Rs 4234969 
WAKCHOURE BHAUSAHEB RAJARAM,Shirdi,SHS,0,Post Graduate,Rs 17860515 ,Rs 2427069 
ADHALRAO SHIVAJI DATTATRAY,Shirur,SHS, 4 ,Post Graduate,Rs 127113134 ,Rs 16221275 
VINAY KUMAR ALIAS VINNU,Shrawasti,INC, 4 ,Doctorate,Rs 15743200 ,Rs 589157 
GOVIND PRASAD MISHRA,Sidhi,BJP,0,Graduate Professional,Rs 5187425 ,Rs 0 
MAHADEV SINGH,Sikar,INC,0,Post Graduate,Rs 7879689 ,Rs 0 
PREM DAS RAI,Sikkim,SDF,0,Post Graduate,Rs 18503294 ,Rs 841835 
Kabindra Purkayastha,Silchar,BJP,0,Post Graduate,Rs 2098543 ,Rs 81279 
MADHU KORA,Singhbhum,IND,0,Graduate,Rs 9832144 ,Rs 0 
ASHOK TANWAR,Sirsa,INC, 2 ,Post Graduate,Rs 23664959 ,Rs 0 
ARJUN ROY,Sitamarhi,JD(U),0,Doctorate,Rs 2907146 ,Rs 462913 
KAISAR JAHAN,Sitapur,BSP,0,8th Pass,Rs 6553956 ,Rs 0 
CHIDAMBARAM P,Sivaganga,INC,0,Post Graduate,Rs 267908542 ,Rs 0 
OmPrakashYadav,Siwan,IND, 1 ,Graduate,Rs 3032500 ,Rs 0 
SHINDE SUSHILKUMAR SAMBHAJIRAO,Solapur,INC,0,Graduate Professional,Rs 86042099 ,Rs 3700000 
JITENDER SINGH,Sonipat,INC,0,Graduate Professional,Rs 1779080 ,Rs 0 
RAMESH KUMAR,South Delhi,INC,0,10th Pass,Rs 25845997 ,Rs 329812 
COSME FRANCISCO CAITANO SARDINHA,South Goa,INC,0,Graduate Professional,Rs 29473470 ,Rs 443500 
KALYAN BANERJEE,Sreerampur,AITC,0,Graduate Professional,Rs 16146266 ,Rs 2125000 
K. KRUPA RANI,Srikakulam,INC,0,Graduate Professional,Rs 18491160 ,Rs 2642781 
FAROOQ ABDULLAH,Srinagar,JKN,0,Graduate Professional,Rs 97841140 ,Rs 0 
BAALU T R,Sriperumbudur,DMK,0,Graduate,Rs 76971478 ,Rs 0 
DR.SANJAY SINGH,Sultanpur,INC,0,Doctorate,Rs 62259720 ,Rs 0 
HEMANAND BISWAL,Sundargarh,INC,0,12th Pass,Rs 3965226 ,Rs 0 
VISHWA MOHAN KUMAR,Supaul,JD(U),0,Post Graduate,Rs 6689616 ,Rs 440179 
DARSNABEN VIKRAMBHAI JARDOS,Surat,BJP, 1 ,Graduate,Rs 9021338 ,Rs 395000 
SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,0,5th Pass,Rs 18618718 ,Rs 0 
ADHIKARI SUVENDU,Tamluk,AITC, 3 ,Graduate,Rs 4751934 ,Rs 0 
VIJAY BAHUGUNA,Tehri Garhwal,INC,0,Graduate Professional,Rs 13501773 ,Rs 0 
LINGAM P,Tenkasi,CPI,0,Graduate,Rs 159365 ,Rs 23014 
JOSEPH TOPPO,Tezpur,AGP,0,10th Pass,Rs 936292 ,Rs 535000 
DR.SANJEEV GANESH NAIK,Thane,NCP, 2 ,12th Pass,Rs 30415344 ,Rs 0 
PALANIMANICKAM.S.S,Thanjavur,DMK,0,Graduate Professional,Rs 7523592 ,Rs 2841136 
AARON RASHID.J.M,Theni,INC,0,12th Pass,Rs 248974573 ,Rs 2191815 
Shashi Tharoor,Thiruvananthapuram,INC, 1 ,Doctorate,Rs 212442472 ,Rs 0 
JEYADURAI S R,Thoothukkudi,DMK,0,Graduate,Rs 87526313 ,Rs 1090000 
P C Chacko,Thrissur,INC,0,Post Graduate,Rs 16335679 ,Rs 0 
VIRENDRA KUMAR,Tikamgarh,BJP,0,Doctorate,Rs 2551466 ,Rs 0 
KUMAR.P,Tiruchirappalli,ADMK,0,Graduate Professional,Rs 5345000 ,Rs 806395 
RAMASUBBU S,Tirunelveli,INC,0,Post Graduate,Rs 34706447 ,Rs 1807386 
Chinta Mohan,Tirupati,INC,0,Graduate Professional,Rs 5512900 ,Rs 557719 
SIVASAMI C,Tiruppur,ADMK, 3 ,Post Graduate,Rs 51892954 ,Rs 0 
VENUGOPAL.P,Tiruvallur,ADMK,0,Graduate Professional,Rs 2074236 ,Rs 350000 
VENUGOPAL.D,Tiruvannamalai,DMK,0,Others,Rs 57010000 ,Rs 1538546 
BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,Rs 3695981 ,Rs 0 
KHAGEN DAS,Tripura West,CPM,0,Post Graduate,Rs 3492580 ,Rs 0 
G.S. BASAVARAJU,Tumkur,BJP,0,Graduate Professional,Rs 54382029 ,Rs 8761621 
AGATHA K. SANGMA,Tura,NCP,0,Post Graduate,Rs 6644295 ,Rs 0 
Raghuveer singh,Udaipur,INC,0,Graduate,Rs 6753883 ,Rs 1750000 
CH. LAL SINGH,Udhampur,INC,0,Graduate,Rs 1762378 ,Rs 2650000 
D.V.Sadananda Gowda,Udupi Chikmagalur,BJP,0,Graduate Professional,Rs 14375959 ,Rs 2486447 
ASWAMEDH DEVI,Ujiarpur,JD(U),0,5th Pass,Rs 10536274 ,Rs 341141 
GUDDU PREMCHAND,Ujjain,INC, 3 ,5th Pass,Rs 105031313 ,Rs 1500000 
SULTAN AHMED,Uluberia,AITC,0,Graduate,Rs 6026230 ,Rs 3600555 
ANNUTANDON,Unnao,INC, 1 ,Graduate,Rs 421352753 ,Rs 0 
Ananthkumar Hegde,Uttara Kannada,BJP, 3 ,12th Pass,Rs 6427192 ,Rs 3955458 
Mullappally Ramachandran,Vadakara,INC,0,Post Graduate,Rs 3316300 ,Rs 502346 
BALKRISHNA KHANDERAO SHUKLA,Vadodara,BJP, 1 ,Graduate,Rs 2662058 ,Rs 216512 
RAGHUVANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,Rs 6169238 ,Rs 214137 
BAIDYANATH PRASAD MAHTO,Valmiki Nagar,JD(U), 1 ,10th Pass,Rs 4428802 ,Rs 520445 
KISANBHAI VESTABHAI PATEL,Valsad,INC, 2 ,12th Pass,Rs 1520245 ,Rs 0 
DR. MURLI MANOHAR JOSHI,Varanasi,BJP, 1 ,Doctorate,Rs 54475345 ,Rs 0 
ABDUL RAHMAN,Vellore,DMK,0,Graduate,Rs 12547128 ,Rs 3297328 
SUSHMA SWARAJ,Vidisha,BJP,0,Graduate Professional,Rs 73582637 ,Rs 58250 
L Rajagopal,Vijayawada,INC,0,Graduate Professional,Rs 1222964909 ,Rs 23967984 
ANANDAN M,Viluppuram,ADMK,0,12th Pass,Rs 8938646 ,Rs 967994 
MANICKA TAGORE,Virudhunagar,INC,0,Graduate Professional,Rs 3313910 ,Rs 0 
D. PURANDARESHWARI,Visakhapatnam,INC,0,Graduate,Rs 202639034 ,Rs 560000 
B. JHANSI,Vizianagaram,INC, 1 ,Post Graduate,Rs 22951539 ,Rs 0 
Rajaiah Siricilla,Warangal,INC,0,Graduate,Rs 4224704 ,Rs 1461167 
DATTA MEGHE,Wardha,INC,0,Graduate,Rs 287739495 ,Rs 70008871 
M I Shanavas,Wayanad,INC,0,Post Graduate,Rs 23904424 ,Rs 2548978 
MAHABAL MISHRA,West Delhi,INC,0,12th Pass,Rs 61994338 ,Rs 989118 
BHAVANA GAWALI (PATIL),Yavatmal-Washim,SHS, 1 ,Graduate,Rs 30399471 ,Rs 2430911 
SURESH KUMAR SHETKAR,Zahirabad,INC,0,Graduate,Rs 3011999 ,Rs 0 
