Candidate,Constituency,Party,Criminal Case(s),Education,Total Assets,Liabilities
MD. ALI ASHRAF FATMI,Darbhanga,RJD,0,Post Graduate,Rs 2071240 ,Rs 545183 
Dawa Narbula,Darjeeling,INC,0,Post Graduate,Rs 7065000 ,Rs 200000 
SACHIN PILOT,Dausa,INC,0,Post Graduate,Rs 2555000 ,Rs 0 
G.M. SIDDESWARA,Davangere,BJP,0,10th Pass,Rs 50282989 ,Rs 0 
DHARMENDRA PRADHAN,Deogarh,BJP,0,Post Graduate,Rs 476756 ,Rs 306250 
MOHAN SINGH,Deoria,SP,0,Not Given,Rs 8468000 ,Rs 150000 
CHANDRA SHEKHAR DUBEY,Dhanbad,INC,0,10th Pass,Rs 10250582 ,Rs 323838 
VARMA RATILAL KALIDAS,Dhandhuka,BJP,0,Post Graduate,Rs 7900277 ,Rs 3881919 
CHHATAR SINGH DARBAR,Dhar,BJP, 1 ,Post Graduate,Rs 2885302 ,Rs 271133 
PRALHAD JOSHI,Dharwad North,BJP, 4 ,Graduate,Rs 7760188 ,Rs 32587745 
KUNNUR MANJUNATH CHANNAPPA,Dharwad South,BJP,0,Post Graduate,Rs 12862400 ,Rs 730000 
TATHAGATA SATAPATHY,Dhenkanal,BJD, 5 ,Others,Rs 2775930 ,Rs 0 
ANWAR HUSSAIN,Dhubri,INC,0,Graduate Professional,Rs 558467 ,Rs 225000 
CHAURE BAPU HARI,Dhule,INC, 1 ,Graduate,Rs 3039824 ,Rs 0 
Samik Lahiri,Diamond Harbour,CPM,0,Graduate,Rs 232000 ,Rs 0 
SARBANANDA SONOWAL,Dibrugarh,AGP,0,Graduate Professional,Rs 2038397 ,Rs 758854 
CHITTHAN N. S. V.,Dindigul,INC,0,Graduate,Rs 13247227 ,Rs 875536 
KATARA BABUBHAI KHIMABHAI,Dohad,BJP,0,Graduate,Rs 700000 ,Rs 109751 
MOHD. MUQUEEM,Domariaganj,BSP, 2 ,10th Pass,Rs 4902000 ,Rs 0 
Amitava Nandy,Dum Dum,CPM,0,12th Pass,Rs 2935137 ,Rs 0 
SHIBU SOREN,Dumka,JMM, 4 ,10th Pass,Rs 3776022 ,Rs 8013462 
